;;;;;;;;;;;;;;;;;;; $ 2.976.195,01 ;;;
DOMINIO;MARCA;MODELO;AÑO;PROVEEDOR;F/COMPRA;F/VENTA;GESTOR;RADIACION ANTERIOR;F/TITULO;RADIACION ACTUAL;ALTA;F/ENVIO ;BAJA;F/ENVIO ;GESTOR; DEUDA ;HONORARIOS;ARANCELES;DEUDA TOTAL;FECHA PAGO ;FECHA RESOLUCION ;
AF664EW;RENAULT;SANDERO INTENS 1.6;2022;CAR FRANCE;5/9/2025;3/2/2026;SOL;CORRIENTES - CORRIENTES;4/3/2026;SANTA FE -BAIGORRIA;OK;;OK;;; $ 32.424,16 ;;; $ 32.424,16 ;;;
AF707KM;RENAULT;KANGOO II EXPRESS CONFORT 1.6 SCE;2022;CAR FRANCE;31/7/2025;3/2/2026;SOL;CORRIENTES - CORRIENTES;12/3/2026;SANTA FE - ROSARIO;OK;;OK;;; $ 480.154,00 ;;; $ 480.154,00 ;;;
AB161NV;FIAT;PALIO ESSENCE 5P 1.6 16V AT;2017;CLIENTE;30/5/2025;5/2/2026;SOL;SANTA FE - FUNES;16/3/2026;SANTA FE - CAÑADA RICA ;OK;;OK;;;;;; $ -   ;;;
AE595PA;;;;;;6/2/2026;SOL;CHACO-PRESIDENCIA ROQUE;1/4/2026;SANTA FE-ROSARIO;OK;;OK;;;;;;;;;
AI120NL;PEUGEOT ;208 GT;2026;AVEC;13/2/2026;13/2/2026;SOL;O KM;27/2/2026;BS AS - BILLINGHURST;OK;;OK;;;;;; $ -   ;;;
AB910AX;VW;GOL TREND 1.6 MSI;2017;CLIENTE;6/1/2026;18/2/2026;SOL;SANTA FE - ROSARIO;9/3/2026;SANTA FE - FUNES;OK;;OK;;;;;; $ -   ;;;
AI120OT;PEUGEOT ;208 GT;2026;AVEC;23/2/2026;23/2/2026;SOL;0 KM;17/3/2026;SANTA FE - ROSARIO ;OK;;OK;;;;;; $ -   ;;;
AB946CJ;FIAT;MOBI 1.0 8V EASY;2017;CAR FRANCE;14/10/2025;23/2/2026;SOL;CHACO - RESISTENCIA;20/3/2026;SANTA FE - FUNES;OK;;PTE;;;;;; $ -   ;;;
AB993XV;CITROEN;C3 AIRCROSS VTI 115 FEEL AM18;2017;CLIENTE;6/1/2025;23/2/2026;SOL;SANTA FE - ROSARIO;13/3/2026;SANTA FE - LAS ROSAS;OK;;OK;;;;;; $ -   ;;;
AC562UK;FORD;ECOSPORT FREESTYLE 1.5L MT N;2018;CAR FRANCE;14/10/2025;5/3/2026;SOL;CHACO - RESISTENCIA;27/3/2026;SANTA FE - CASILDA ;OK;;OK;2-jun;HECTOR; $ -   ; $ -   ; $ -   ; $ -   ;-;2/6/2026;
ODU381;CHEVROLET;CLASSIC 4 PTAS LS ABS+AIRBAG 1.4N;2014;CLIENTE;23/2/2026;9/3/2026;SOL;SANTA FE - FUNES;25/3/2026;SANTA FE - FUNES;OK;;OK;;;;;; $ -   ;;;
AB231RX;VW;GOL TREND 1.6;2017;CLIENTE;3/2/2026;13/3/2026;SOL;SANTA FE - BAIGORRIA;13/4/2026;SANTA FE - CARCARAÑA ;OK;;OK;;;;;; $ -   ;;;
AD570OQ;RENAULT;CAPTUR INTENS 1.6 CVT;2019;CLIENTE;15/11/2025;17/3/2026;;TITULO PTE;;;;;;;;;;; $ -   ;;;
HOD513;VW;SURAN 1.6N COMFORTLINE;2008;CLIENTE;26/8/2025;18/3/2026;;SOL;6/4/2026;SANTA FE - ROSARIO ;OK;;OK;;;;;; $ -   ;;;
AF735MX;VW;TAOS HIGHLINE HERO 250 TSI AT;2022;CAR FRANCE;15/1/2026;18/3/2026;;SOL;10/4/2026;SANTA FE - ROSARIO;OK;;OK;;;;;; $ -   ;;;
LPW281;CHEVROLET;SONIC 1.6 LTZ MT 5P;2012;CLIENTE;15/1/2026;18/3/2026;;SOL;9/4/2026;SANTA FE - ROLDAN;OK;;OK;;;;;; $ -   ;;;
AF287ZK;PEUGEOT;208 ACTIVE TIPTRONIC 1.6L;2022;METZ;20/11/2025;18/3/2026;;TITULO PTE;;;;;;;;;;; $ -   ;;;
AB571ZD;PEUGEOT;2008 ALLURE 1.6;2017;METZ;14/10/2025;19/3/2026;SOL;CORRIENTES -  BELLA VISTA;13/4/2026;SANTA FE - CAPITAN BERMUDEZ;PTE;9/6/2026;PTE;;"""""""""""""";;;; $ -   ;;;
AA101IO;RENAULT;CLIO MIO CONFORT PACK SAT 5 PTAS;2016;CLIENTE;3/12/2025;19/3/2026;;TITULO PTE;;;;;;;;;;; $ -   ;;;
NGL653;PEUGEOT;PARTNER PATAGONICA 1.6 HDI;2013;CLIENTE;16/5/2025;19/3/2026;SOL;SANTA FE - ROSARIO ;1/4/2026;ENTRE RIOS - GUALEGUAY ;PTE;;PTE;;y;;;; $ -   ;;;
JRA795;RENAULT;STEPWAY CONFORT 1.6 16V;2011;CLIENTE;5/3/2026;19/3/2026;SOL;SANTA FE - CASILDA;13/4/2026;SANTA FE - PTO SAN MARTIN;OK;;OK;;Y;;;; $ -   ;;;
AF954VS;PEUGEOT;208 FELINE 1.6L TIPTRONIC AM23.5;2023;METZ;15/1/2026;20/3/2026;CACHO;CORRIENTES - GOYA;22/4/2026;CORDOBA - ISLA VERDE;;;PTE;;;;;; $ -   ;;;
AD914AS;RENAULT;KWID ZEN 1.0;2019;CAR FRANCE;20/11/2025;21/3/2026;SOL;CHACO - RESISTENCIA;13/4/2026;SANTA FE - FUNES;OK;;OK;2-jun;HECTOR; $ 13.644,40 ; $ 20.000,00 ; $ 5.000,00 ; $ 38.644,40 ;PAGADO 2-6;8/6/2026;
AE990HB;NISSAN;VERSA 1.6 SENSE CVT;2021;KYOTO;20/11/2025;21/3/2026;CACHO;CHACO - RESISTENCIA;15/4/2026;CABA - CABA;OK;;OK;;;;;; $ -   ;;;
OIN832;PEUGEOT;207 COMPACT ACTIVE 1.4 N;2014;CLIENTE;15/12/2025;25/3/2026;SOL;SANTA FE - FUNES;20/4/2026;SANTA FE - ROSARIO;PTE;9/6/2026;OK;Y;;;;; $ -   ;;;
AC788SE;RENAULT;DUSTER PH2 PRIVILEGE 1.6;2018;CAR FRANCE;21/4/2025;28/3/2026;SOL;CHACO - RESISTENCIA;15/4/2026;SANTA FE - ALVAREZ;PTE;9/6/2026;PTE;Y;;;;; $ -   ;;;
MLU126;CITROEN;C3 1.5L TENDANCE PACK;2013;CLIENTE;23/2/2026;28/3/2026;SOL;SANTA FE - LAS ROSAS;13/4/2026;SANTA FE - PERERZ;OK;;OK;Y;;;;; $ -   ;;;
AD771EG;RENAULT;LOGAN AUTHENTIQUE 1.6;2019;CLIENTE;17/10/2025;30/3/2026;SOL;SANTA FE - ROSARIO;27/4/2026;SANTA FE - CARCARAÑA ;OK;;OK;;;;;; $ -   ;;;
AF543FA;TOYOTA;COROLLA XLI MT;2022;KYOTO;14/10/2025;30/3/2026;SOL;CHACO - PRESIDENCIA ROCA;24/4/2026;SANTA FE - ROSARIO;OK;;OK;;;;;; $ -   ;;;
AF068DJ;FORD;ECOSPORT TITANIUM 1.5L AT;2021;CAR FRANCE;20/11/2025;31/3/2026;CACHO;CORRIENTES - CORRIENTES;22/4/2026;SANTA FE - ROSARIO;PROCESO;5/5/2026;OK;;ACOR;$ 153.024,41;;; $ 153.024,41 ;;;
AE600JA;RENAULT;KWID ZEN 1.0;2021;CAR FRANCE;5/9/2025;1/4/2026;SOL;TITULO PTE;;;;;;;;;;; $ -   ;;;
XBV027;CITROEN;3CV;1977;CLIENTE;24/8/2024;4/4/2026;SOL;SANTA FE - ROSARIO;16/4/2026;SANTA FE - VGG ;OK;;OK;Y;;;;; $ -   ;;;
A128BHU;HONDA;WAVE 110 S;2020;CLIENTE;29/10/2025;9/4/2026;SOL;SANTA FE - VGG;27/4/2026;SANTA FE - ROSARIO;PTE;9/6/2026;OK;Y;;;;; $ -   ;;;
AF272LU;CITROEN;CACTUS VTI 115 EAT6 FEEL PACK PLUS AM21.5;2022;KYOTO;15/1/2026;9/4/2026;SOL;CHACO - COLONIA BENITEZ;28/4/2026;SANTA FE - CARCARAÑA ;OK;;OK;Y;;;;; $ -   ;;;
AF878VH;PEUGEOT;208 FELINE 1.6L TIPTRONIC AM23.5;2023;CLIENTE;23/2/2026;10/4/2026;SOL;SANTA FE - ROSARIO;29/4/2026;SANTA FE - ROSARIO;PTE;9/6/2026;OK;OK;;;;; $ -   ;;;
