;;;;;;;;;;;;;;18/6/2024;3/8/2026;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;776;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;1619;1483;;;;;;;;;;;;;;;;
;;;;;;;;;;$ 5.765.176;$ 12.491.307.393;;;;;COSTO;;;;;;;;;;;;;;;
 N° ; DOMINIO ; MARCA ; MODELO  ; Vendedor ; MOTOR ; AÑO ; COLOR ; KM ; Proveedor ; NRO OPERACIÓN ; PRECIO INFOAUTO COMPRA ; POSICION ; ESTADO ; Fecha compra ; Fecha venta ;COMPRA;FLETE;GASTOS PREPARACION;Patentes - Bajas;Otros Gastos;Costo;Ref. Costo / Info;Total Gastos;;;;;;;;
72;LUN903;RENAULT;KANGOO ;1.6 1 PLC AA DA;GNC;2012;BLANCA;146.000;-;-;$ 280.000;Funes Exclusivos;LP;1/1/2019;;$ 155.000;$ 5.000;;;;$ 160.000;$ 5.000;$ 5.000;;;;;;;;
73;AC858EA;RENAULT;KWID;INTENS 1.0;NAFTA;2018;GRIS ETOILE;0KM;-;-;$ 440.000;VENDIDO;Vendido;7/11/2019;7/11/2019;$ 425.000;$ 4.500;;;;$ 429.500;$ 4.500;$ 4.500;;;;;;;;
74;AC551UN;RENAULT;KWID;ICONIC 1.0;NAFTA;2018;GRIS ETOILE;23.550;-;-;$ 450.000;Entregado;Vendido;;23/12/2019;$ 324.480;$ 4.000;;;;$ 328.480;$ 4.000;$ 4.000;;;;;;;;
75;LNH731;RENAULT;MASTER;2.5 DCI L1H1 PKCNF;DIESEL;2012;BLANCO;209.000;-;-;$ 625.000;Funes Exclusivos;LP;16/9/2019;;$ 423.360;$ 4.000;;;;$ 427.360;$ 4.000;$ 4.000;;;;;;;;
76;PEB811;RENAULT;NUEVO SANDERO;STEPWAY 1.6 PRIVILEGE;NAFTA;2015;GRIS ACERO;58.000;-;-;$ 505.000;Funes Exclusivos;LP;10/;;$ 420.000;$ 4.000;;;;$ 424.000;$ 4.000;$ 4.000;;;;;;;;
77;AA614BK;RENAULT;NUEVO SANDERO;1.6 GT LINE;NAFTA;2016;GRIS PLATA;34.000;-;-;$ 410.000;Galpon VGG;LP;;;$ 320.320;$ 4.500;;;;$ 324.820;$ 4.500;$ 4.500;;;;;;;;
78;AC254WL;RENAULT;NUEVO SANDERO;1.6 8V EXPRESSION;NAFTA;2018;GRIS;34.000;-;-;$ 470.000;Galpon VGG;LP;16/9/2019;;$ 297.920;$ 4.000;;;;$ 301.920;$ 4.000;$ 4.000;;;;;;;;
79;AD252XH;RENAULT;NUEVO SANDERO;SANDERO RS RACING SPIRIT;NAFTA;2018;NEGRO NACRE;0KM;-;-;$ 640.000;Galpon VGG;LP;;Consignacion;;$ 4.500;;;;$ 4.500;$ 4.500;$ 4.500;;;;;;;;
80;AD859ST;RENAULT;NUEVO SANDERO;SANDERO RS;NAFTA;2019;BLANCO GLACIAR;0KM;-;-;;Funes Exclusivos;LP;;Consignacion;$ 719.100;$ 4.500;;;;$ 723.600;$ 4.500;$ 4.500;;;;;;;;
81;JER491;RENAULT;SANDERO;STEPWAY CONFORT 1.6 16V;NAFTA;2010;AZUL;98.600;-;-;$ 310.000;PEDRO;LP;16/9/2019;;$ 330.400;$ 4.000;;;;$ 334.400;$ 4.000;$ 4.000;;;;;;;;
82;JAX574;RENAULT;SYMBOL ;1.6 8V PACK  ;GNC;2010;GRIS CLARO;151.000;-;-;$ 185.000;PEDRO;LP;16/9/2019;23/12/2019;$ 161.500;;;;;$ 161.500;$ 0;$ 0;;;;;;;;
83;OKY581;TOYOTA;COROLLA;XLI 1.8 CVT;NAFTA;2014;AZUL;69.000;-;-;$ 550.000;Entregado;Vendido;16/9/2019;30/12/2019;$ 272.160;$ 4.000;$ 6.700;;;$ 282.860;$ 10.700;$ 10.700;;;;;;;;
84;AD822MY;TOYOTA;YARIS;5 PTAS MY '19 6M/T XLS;NAFTA;2019;NEGRO;0KM;-;-;$ 942.900;Funes Exclusivos;Entregado;16/9/2019;11/7/2020;$ 959.000;;;;;$ 959.000;$ 0;$ 0;;;;;;;;
85;NCP674;VW;GOL;1.4 5 PTAS POWER;NAFTA;2013;BLANCO;72.500;-;-;$ 204.000;Funes Exclusivos;LP;16/9/2019;;$ 280.000;$ 4.000;;;;$ 284.000;$ 4.000;$ 4.000;;;;;;;;
86;OWP546;VW;VOYAGE;1.6 CONFORTLINE 4 PTAS;NAFTA;2015;CELESTE;78.900;-;-;$ 315.000;Funes Exclusivos;LP;15/8/2019;7/11/2019;$ 203.840;$ 4.000;;;;$ 207.840;$ 4.000;$ 4.000;;;;;;;;
87;ISO100;CHEVROLET;CAPTIVA;2.4 LT MANUAL;NAFTA;2010;GRIS CLARO;43.700;-;-;$ 421.000;Funes Exclusivos;Vendido;28/8/2019;;$ 261.205;$ 4.000;$ 12.200;;;$ 277.405;$ 16.200;$ 16.200;;;;;;;;
